Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt
886,Errict Rhett\RhetEr00,1999,29,2-34,BAL,NFL,16,10,236,852,3.61,5,53.3,32,24,169,7.04,2,10.6,75.0%,5.28
887,Walter Abercrombie\AberWa00,1985,26,1-12,PIT,NFL,16,16,227,851,3.75,7,53.2,,24,209,8.71,2,13.1,,
888,Chris Brown\BrowCh03,2005,24,3-93,TEN,NFL,15,14,224,851,3.80,5,56.7,37,25,327,13.08,2,21.8,67.6%,8.84
889,Barry Foster\FostBa00,1994,26,5-128,PIT,NFL,11,10,216,851,3.94,5,77.4,28,20,124,6.20,0,11.3,71.4%,4.43
890,Frank Pollard\PollFr00,1984,27,11-305,PIT,NFL,15,15,213,851,4.00,6,56.7,,21,186,8.86,0,12.4,,
891,C.J. Anderson\AndeC.00,2014,23,,DEN,NFL,15,7,179,849,4.74,8,56.6,44,34,324,9.53,2,21.6,77.3%,7.36
892,Hoyle Granger\GranHo00,1968,24,4-63 5-37AFL,HOU,AFL,13,13,202,848,4.20,7,65.2,,26,361,13.88,0,27.8,,
893,Garrison Hearst\HearGa00,1996,25,1-3,CIN,NFL,16,12,225,847,3.76,0,52.9,22,12,131,10.92,1,8.2,54.5%,5.95
894,Chris Warren\WarrCh00,1997,29,4-89,SEA,NFL,15,13,200,847,4.24,4,56.5,54,45,257,5.71,0,17.1,83.3%,4.76
895,Mike Alstott\AlstMi00,1998,25,2-35,TAM,NFL,16,16,215,846,3.93,8,52.9,30,22,152,6.91,1,9.5,73.3%,5.07
896,Bill Mathis\MathBi00,1961,23,8-88,NYT,AFL,14,,202,846,4.19,7,60.4,,12,42,3.50,1,3.0,,
897,Michael Pittman\PittMi00,2001,26,4-95,ARI,NFL,15,14,241,846,3.51,5,56.4,66,42,264,6.29,0,17.6,63.6%,4.00
898,Calvin Hill\HillCa00,1974,27,1-24,DAL,NFL,12,12,185,844,4.56,7,70.3,,12,134,11.17,0,11.2,,
899,Chester Taylor\TaylCh01,2007,28,6-207,MIN,NFL,14,8,157,844,5.38,7,60.3,43,29,281,9.69,0,20.1,67.4%,6.53
900,DeAngelo Williams\WillDe02,2013,30,1-27,CAR,NFL,15,15,201,843,4.19,3,56.2,36,26,333,12.81,1,22.2,72.2%,9.25
901,Latavius Murray\MurrLa00,2017,27,6-181,MIN,NFL,16,11,216,842,3.90,8,52.6,17,15,103,6.87,0,6.4,88.2%,6.06
902,Timmy Brown\BrowTi01,1963,26,27-313,PHI,NFL,14,14,192,841,4.38,6,60.1,,36,487,13.53,4,34.8,,
903,Abner Haynes\HaynAb00,1961,24,5-55,DTX,AFL,14,13,179,841,4.70,9,60.1,,34,558,16.41,3,39.9,,
904,Nick Pietrosante\PietNi00,1961,24,1-6,DET,NFL,14,14,201,841,4.18,5,60.1,,26,315,12.12,0,22.5,,
905,LeSean McCoy\McCoLe01,2012,24,2-53,PHI,NFL,12,12,200,840,4.20,2,70.0,67,54,373,6.91,3,31.1,80.6%,5.57
906,Antowain Smith\SmitAn00,1997,25,1-23,BUF,NFL,16,0,194,840,4.33,8,52.5,47,28,177,6.32,0,11.1,59.6%,3.77
907,Charlie Garner\GarnCh00,2001,29,2-42,OAK,NFL,16,16,211,839,3.98,1,52.4,91,72,578,8.03,2,36.1,79.1%,6.35
908,Jeremy Hill\HillJe01,2016,24,2-55,CIN,NFL,15,13,222,839,3.78,9,55.9,27,21,174,8.29,0,11.6,77.8%,6.44
909,Mark van Eeghen\VanEMa00,1980,28,3-75,OAK,NFL,16,16,222,838,3.77,5,52.4,,29,259,8.93,0,16.2,,
910,Larry Csonka*\CsonLa00,1979,33,1-8,MIA,NFL,16,16,220,837,3.80,12,52.3,,16,75,4.69,1,4.7,,
911,Bam Morris\MorrBa00,1994,22,3-91,PIT,NFL,15,6,198,836,4.22,7,55.7,25,22,204,9.27,0,13.6,88.0%,8.16
912,Don Perkins\PerkDo00,1968,30,9-106,DAL,NFL,14,14,191,836,4.38,4,59.7,,17,180,10.59,2,12.9,,
913,Jonathan Stewart\StewJo00,2008,21,1-13,CAR,NFL,16,0,184,836,4.54,10,52.3,17,8,47,5.88,0,2.9,47.1%,2.76
914,DeAngelo Williams\WillDe02,2011,28,1-27,CAR,NFL,16,14,155,836,5.39,7,52.3,25,16,135,8.44,0,8.4,64.0%,5.40
915,Brandon Jacobs\JacoBr00,2009,27,4-110,NYG,NFL,15,15,224,835,3.73,5,55.7,31,18,184,10.22,1,12.3,58.1%,5.94
916,Laurence Maroney\MaroLa00,2007,22,1-21,NWE,NFL,13,6,185,835,4.51,6,64.2,8,4,116,29.00,0,8.9,50.0%,14.50
917,Marion Butts\ButtMa00,1991,25,7-183,SDG,NFL,16,8,193,834,4.32,6,52.1,,10,91,9.10,1,5.7,,
918,Gerald Riggs\RiggGe00,1989,29,1-9,WAS,NFL,12,7,201,834,4.15,4,69.5,,7,67,9.57,0,5.6,,
919,Marcel Shipp\ShipMa00,2002,24,,ARI,NFL,15,6,188,834,4.44,6,55.6,49,38,413,10.87,3,27.5,77.6%,8.43
920,Chris Ivory\IvorCh00,2013,25,,NYJ,NFL,15,6,182,833,4.58,3,55.5,7,2,10,5.00,0,0.7,28.6%,1.43
921,John Stephens\StepJo00,1989,23,1-17,NWE,NFL,14,12,244,833,3.41,7,59.5,,21,207,9.86,0,14.8,,
922,Marcus Allen*\AlleMa00,1988,28,1-10,RAI,NFL,15,15,223,831,3.73,7,55.4,,34,303,8.91,1,20.2,,
923,Emerson Boozer\BoozEm00,1973,30,7-98 6-46AFL,NYJ,NFL,13,12,182,831,4.57,3,63.9,,22,130,5.91,3,10.0,,
924,Eddie Lee Ivery\IverEd00,1980,23,1-15,GNB,NFL,16,16,202,831,4.11,3,51.9,,50,481,9.62,1,30.1,,
925,Sammie Smith\SmitSa00,1990,23,1-9,MIA,NFL,16,16,226,831,3.68,8,51.9,,11,134,12.18,1,8.4,,
926,Tom Woodeshick\WoodTo01,1969,28,8-102 4-28AFL,PHI,NFL,12,12,186,831,4.47,4,69.3,,22,177,8.05,0,14.8,,
927,Marcus Allen*\AlleMa00,1996,36,1-10,KAN,NFL,16,15,206,830,4.03,9,51.9,35,27,270,10.00,0,16.9,77.1%,7.71
928,Roger Craig\CraiRo00,1986,26,2-49,SFO,NFL,16,15,204,830,4.07,7,51.9,,81,624,7.70,0,39.0,,
929,Lorenzo Hampton\HampLo00,1986,24,1-27,MIA,NFL,16,16,186,830,4.46,9,51.9,,61,446,7.31,3,27.9,,
930,Thomas Rawls\RawlTh00,2015,22,,SEA,NFL,13,7,147,830,5.65,4,63.8,11,9,76,8.44,1,5.8,81.8%,6.91
931,Marcel Shipp\ShipMa00,2003,25,,ARI,NFL,16,11,228,830,3.64,0,51.9,37,30,184,6.13,0,11.5,81.1%,4.97
932,Duce Staley\StalDu00,2004,29,3-71,PIT,NFL,10,10,192,830,4.32,1,83.0,12,6,55,9.17,0,5.5,50.0%,4.58
933,Bill Brown\BrowBi00,1966,28,2-20 6-45AFL,MIN,NFL,14,14,251,829,3.30,6,59.2,,37,359,9.70,0,25.6,,
